tuple_index,degree,n1,n2,r1,r2,exponent,ell,status,filter_mode,filter_complete,filter_tested,pool_size,filter_failed,subset_coverage_json,subset_tests_total,singular_subsets,minimum_rank_defect,certification_status
0,2,2,1,3,1,3,1,tested_before_stop,exhaustive,True,1,1,0,[],0,0,0,algebraically_indicated
1,4,2,2,3,5,15,2,tested_before_stop,exhaustive,True,2,2,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""8"":1},""seed"":15943639861662159026,""selection_sha256"":""c404f23555d8fbfce764f073e54c6d30c3b08c3a499a8c4f9986d1d44d59ee3b"",""singular"":0,""tested"":1,""universe_in_tested_pool"":1}]",1,0,0,algebraically_indicated
2,4,4,1,5,1,5,1,tested_before_stop,exhaustive,True,1,1,0,[],0,0,0,algebraically_indicated
3,4,4,1,5,3,15,2,tested_before_stop,exhaustive,True,2,2,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""8"":1},""seed"":15279702473222532145,""selection_sha256"":""c404f23555d8fbfce764f073e54c6d30c3b08c3a499a8c4f9986d1d44d59ee3b"",""singular"":0,""tested"":1,""universe_in_tested_pool"":1}]",1,0,0,algebraically_indicated
4,6,2,3,3,7,21,2,tested_before_stop,exhaustive,True,2,2,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""12"":1},""seed"":4228174583364560737,""selection_sha256"":""5caf3cb44c2ec1b41a904caf08575d38ead62e13f355009619d94de89c434cda"",""singular"":0,""tested"":1,""universe_in_tested_pool"":1}]",1,0,0,algebraically_indicated
5,6,6,1,7,3,21,2,tested_before_stop,exhaustive,True,2,0,2,[],0,0,0,algebraically_indicated
6,6,6,1,7,9,63,6,tested_before_stop,exhaustive,True,6,0,6,[],0,0,0,algebraically_indicated
7,6,6,1,9,1,9,1,tested_before_stop,exhaustive,True,1,1,0,[],0,0,0,algebraically_indicated
8,6,6,1,9,7,63,6,tested_before_stop,exhaustive,True,6,6,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""12"":15},""seed"":68722881256461941,""selection_sha256"":""d50dfc3213ba29457e3f54c082e5249e7466f15937e57306af627259656021ee"",""singular"":0,""tested"":15,""universe_in_tested_pool"":15}]",15,0,0,algebraically_indicated
9,8,2,4,3,17,51,4,tested_before_stop,exhaustive,True,4,4,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""16"":6},""seed"":1323549771007808645,""selection_sha256"":""d7086c378814835c263b14f4b6433012d177729142cf4f624c33ba8f669c43b0"",""singular"":0,""tested"":6,""universe_in_tested_pool"":6}]",6,0,0,algebraically_indicated
10,8,2,4,3,85,255,16,tested_before_stop,exhaustive,True,16,16,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""16"":120},""seed"":17339833894067450904,""selection_sha256"":""819e8052a1d3163de082fa8c93b452f9181557992078926bed7ff3f219200b83"",""singular"":0,""tested"":120,""universe_in_tested_pool"":120}]",120,0,0,algebraically_indicated
11,8,4,2,5,17,85,8,tested_before_stop,exhaustive,True,8,8,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""16"":28},""seed"":7333844528104438204,""selection_sha256"":""2e5eb7c696c1acd3ab79c26b65658cc3b20d26714784ae900ea970593271ce6e"",""singular"":0,""tested"":28,""universe_in_tested_pool"":28}]",28,0,0,algebraically_indicated
12,8,4,2,5,51,255,16,tested_before_stop,exhaustive,True,16,16,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""16"":120},""seed"":5146374790461306689,""selection_sha256"":""819e8052a1d3163de082fa8c93b452f9181557992078926bed7ff3f219200b83"",""singular"":0,""tested"":120,""universe_in_tested_pool"":120}]",120,0,0,algebraically_indicated
13,8,8,1,15,17,255,16,tested_before_stop,exhaustive,True,16,0,16,[],0,0,0,algebraically_indicated
14,10,2,5,3,11,33,2,tested_before_stop,exhaustive,True,2,2,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""20"":1},""seed"":13785687257037511805,""selection_sha256"":""5caf3cb44c2ec1b41a904caf08575d38ead62e13f355009619d94de89c434cda"",""singular"":0,""tested"":1,""universe_in_tested_pool"":1}]",1,0,0,algebraically_indicated
15,10,2,5,3,31,93,6,tested_before_stop,exhaustive,True,6,6,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""20"":15},""seed"":12082712840691848622,""selection_sha256"":""88608648a924e4aa52362df09492daa22075763d04b44a02c4783dbc2bf4a09a"",""singular"":0,""tested"":15,""universe_in_tested_pool"":15}]",15,0,0,algebraically_indicated
16,10,2,5,3,341,1023,60,tested_before_stop,exhaustive,True,60,60,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""20"":1770},""seed"":16803916920294068863,""selection_sha256"":""659c1c0d70ad05b9a1bd88a2284eb97f52417171239a622b7ed851a73dad6287"",""singular"":0,""tested"":1770,""universe_in_tested_pool"":1770}]",1770,0,0,algebraically_indicated
17,10,10,1,11,1,11,1,tested_before_stop,exhaustive,True,1,1,0,[],0,0,0,algebraically_indicated
18,10,10,1,11,3,33,2,tested_before_stop,exhaustive,True,2,2,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""20"":1},""seed"":283186509340574962,""selection_sha256"":""5caf3cb44c2ec1b41a904caf08575d38ead62e13f355009619d94de89c434cda"",""singular"":0,""tested"":1,""universe_in_tested_pool"":1}]",1,0,0,algebraically_indicated
